City,Lat,Long,Max Temp,Humidity,Cloudiness (%),Wind Speed (m/s),Country,Date
Maniitsoq,65.42,-52.9,283.01,75,19,2.6,GL,1596040951
Chokurdakh,70.63,147.92,279.27,77,94,3.47,RU,1596040949
Hasaki,35.73,140.83,293.15,94,75,2.6,JP,1596041243
Castro,-24.79,-50.01,288.8,87,98,3.07,BR,1596041243
Geraldton,-28.77,114.6,284.15,87,0,4.6,AU,1596040948
Port Lincoln,-34.73,135.87,284.33,86,0,1.2,AU,1596041243
Urusha,54.05,122.9,292.25,81,27,1.26,RU,1596041243
Peresichna,50.02,35.98,303.15,35,12,3.0,UA,1596041244
Alcañiz,41.05,-0.13,300.93,64,0,2.68,ES,1596041244
Proletarskiy,50.79,35.77,303.15,37,35,3.0,RU,1596041244
Ponta Delgada,37.73,-25.67,297.15,83,75,4.6,PT,1596041244
Itarema,-2.92,-39.92,302.89,53,0,7.1,BR,1596041244
Camaná,-16.62,-72.71,291.46,61,10,3.1,PE,1596041245
Touros,-5.2,-35.46,301.15,69,75,5.7,BR,1596041245
Oktyabr'skiy,54.48,53.47,290.91,81,19,1.02,RU,1596041245
Mahébourg,-20.41,57.7,295.15,83,40,7.2,MU,1596041245
Upernavik,72.79,-56.15,279.49,90,100,2.25,GL,1596041245
Egvekinot,66.32,-179.17,282.04,94,100,1.7,RU,1596041246
Nānpāra,27.87,81.5,298.84,89,100,1.94,IN,1596041246
Butaritari,3.07,172.79,301.3,78,99,7.21,KI,1596041246
Tignère,7.37,12.65,291.85,93,99,1.23,CM,1596041247
Znamenskoye,57.13,73.83,283.38,85,7,2.28,RU,1596041247
Marsh Harbour,26.54,-77.06,301.95,67,88,4.91,BS,1596041247
Iquitos,-3.75,-73.25,304.15,62,75,2.1,PE,1596041247
Faanui,-16.48,-151.75,299.82,74,90,7.55,PF,1596041248
Gubbio,43.35,12.57,310.93,44,1,3.05,IT,1596041248
New Norfolk,-42.78,147.06,281.48,81,23,0.89,AU,1596041248
Tuktoyaktuk,69.45,-133.04,281.15,87,90,2.1,CA,1596041248
Porto-Vecchio,41.59,9.28,307.15,44,0,3.1,FR,1596041248
Sumbe,-11.21,13.84,294.81,80,59,4.14,AO,1596041249
Port Moresby,-9.44,147.18,297.15,94,75,5.1,PG,1596041249
Isangel,-19.55,169.27,296.62,74,84,6.46,VU,1596041249
Haines Junction,60.75,-137.51,284.95,82,100,0.57,CA,1596041249
Norman Wells,65.28,-126.83,287.15,100,90,6.7,CA,1596041249
Klaksvík,62.23,-6.59,282.15,93,100,8.2,FO,1596041249
Abonnema,4.71,6.79,301.15,83,75,3.1,NG,1596040980
Paamiut,61.99,-49.67,281.91,91,84,1.67,GL,1596041250
Bara,10.37,10.73,301.02,72,40,4.4,NG,1596041250
Dingle,11.0,122.67,297.63,89,100,2.38,PH,1596041250
Hong Kong,22.29,114.16,303.15,74,98,4.92,HK,1596041073
Dawei,14.08,98.2,298.37,84,100,1.03,MM,1596041251
Arraial do Cabo,-22.97,-42.03,299.15,83,40,5.1,BR,1596041251
Cherskiy,68.75,161.3,277.5,84,82,5.17,RU,1596041251
Ashtian,34.52,50.0,298.78,20,85,1.56,IR,1596041251
Airai,-8.93,125.41,284.43,82,36,1.42,TL,1596041252
Shingū,33.73,135.98,296.93,92,99,1.38,JP,1596041252
Cabedelo,-6.98,-34.83,300.15,78,75,6.2,BR,1596041252
Yabrūd,33.97,36.66,313.15,17,48,6.2,SY,1596041252
Kysyl-Syr,63.9,122.76,281.87,74,0,2.69,RU,1596041252
Lat Yao,15.75,99.79,299.28,86,100,1.76,TH,1596041253
Ngunguru,-35.62,174.5,285.93,3,95,2.24,NZ,1596041253
Tolstoy-Yurt,43.44,45.77,300.15,57,75,2.0,RU,1596041253
Ancud,-41.87,-73.82,282.59,81,75,2.1,CL,1596041253
Portland,45.52,-122.68,295.37,59,1,1.5,US,1596041231
Cap Malheureux,-19.98,57.61,294.26,80,9,2.24,MU,1596041253
Yokadouma,3.52,15.05,295.59,93,38,1.22,CM,1596041254
Ishigaki,24.34,124.16,302.77,80,99,7.87,JP,1596041254
Nanortalik,60.14,-45.24,281.5,92,100,4.18,GL,1596041254
Hasanpur,28.72,78.28,299.75,88,100,3.85,IN,1596041254
Sovetskaya Gavan',48.97,140.29,291.89,92,0,1.47,RU,1596041254
Dikson,73.51,80.55,282.66,76,95,6.18,RU,1596041255
Chui,-33.7,-53.46,284.3,62,0,2.82,UY,1596041255
Bluff,-46.6,168.33,283.82,87,100,7.53,NZ,1596041255
Umm Kaddadah,13.6,26.69,303.78,49,43,8.7,SD,1596041255
Ostrovnoy,68.05,39.51,285.73,75,0,6.43,RU,1596041255
Biak,-0.91,122.88,297.62,80,94,3.93,ID,1596041255
George Town,5.41,100.34,302.15,78,20,2.1,MY,1596041256
Kangshan,28.88,116.43,300.82,82,95,2.34,CN,1596041256
Viedma,-40.81,-63.0,286.48,47,0,1.34,AR,1596041256
Chabahar,25.29,60.64,303.76,77,23,5.33,IR,1596041256
Pundaguitan,6.37,126.17,301.67,76,100,5.55,PH,1596041256
Havelock,34.88,-76.9,302.15,78,75,5.7,US,1596041222
Autazes,-3.58,-59.13,308.88,26,0,2.14,BR,1596041257
Rabak,13.18,32.74,301.62,60,92,5.6,SD,1596041257
Vícar,36.83,-2.64,307.15,46,3,7.2,ES,1596041257
Hilo,19.73,-155.09,296.15,78,40,3.51,US,1596041067
Thompson,55.74,-97.86,293.15,64,20,3.6,CA,1596040985
Zhigansk,66.77,123.37,282.53,71,0,7.0,RU,1596041257
Ola,59.58,151.28,285.59,64,77,4.52,RU,1596041258
Ponta do Sol,32.67,-17.1,295.93,62,20,1.63,PT,1596041258
Iberia,29.95,-91.75,304.15,74,40,3.1,US,1596041258
Carutapera,-1.2,-46.02,301.48,70,35,2.49,BR,1596041258
Santa Rosalía,27.32,-112.28,302.66,61,0,2.19,MX,1596041259
Saint George,37.1,-113.58,305.93,13,1,0.58,US,1596041259
Qingquan,30.45,115.26,300.93,85,98,0.75,CN,1596041259
Pestretsy,55.75,49.65,298.15,47,51,2.0,RU,1596041259
Santa Cruz de la Sierra,-17.8,-63.17,293.15,22,75,9.3,BO,1596041043
Tocopilla,-22.09,-70.2,292.59,39,12,1.14,CL,1596041260
Tasiilaq,65.61,-37.64,280.15,70,40,5.7,GL,1596041260
Port Alfred,-33.59,26.89,288.39,73,0,6.22,ZA,1596041260
La Ronge,55.1,-105.28,297.15,64,20,4.1,CA,1596041260
Clyde River,70.47,-68.59,280.15,81,75,3.6,CA,1596041261
Puerto Madryn,-42.77,-65.04,282.67,49,0,6.56,AR,1596041261
Longyearbyen,78.22,15.64,285.15,81,40,4.1,SJ,1596041261
Golden,39.76,-105.22,303.15,17,20,4.1,US,1596041261
Malindi,-3.22,40.12,298.15,83,40,6.7,KE,1596041262
Sur,22.57,59.53,307.54,51,39,5.13,OM,1596041262
Safakulevo,54.99,62.54,289.83,80,96,0.73,RU,1596041262
Natal,-5.79,-35.21,301.15,69,75,5.7,BR,1596041262
Shache,38.42,77.24,302.3,19,38,7.09,CN,1596041262
Le Mars,42.79,-96.17,300.93,74,1,2.0,US,1596041263
Vanimo,-2.67,141.3,298.47,85,33,2.4,PG,1596041263
San Cristobal,7.77,-72.22,304.15,58,40,4.1,VE,1596041118
Westport,41.14,-73.36,304.26,62,1,3.1,US,1596041044
Jardim,-21.48,-56.14,293.2,49,53,3.28,BR,1596041263
Pangnirtung,66.15,-65.71,284.15,93,75,1.5,CA,1596041263
Riyadh,24.69,46.72,316.15,14,30,2.6,SA,1596041191
Bengkulu,-3.8,102.27,297.54,90,49,3.14,ID,1596041264
Bubaque,11.28,-15.83,299.75,81,93,9.24,GW,1596041264
Rio Grande,-32.03,-52.1,287.15,47,40,5.1,BR,1596041161
Ixtapa,20.7,-105.2,303.71,70,75,1.18,MX,1596041264
San Patricio,19.22,-104.7,300.15,83,75,3.1,MX,1596041264
Jacareacanga,-6.22,-57.75,309.52,20,0,1.98,BR,1596041265
Ayr,55.46,-4.63,288.15,58,20,4.6,GB,1596041265
Wiang Sa,8.64,99.37,301.48,85,97,0.58,TH,1596041265
Husavik,66.04,-17.34,286.15,71,40,5.7,IS,1596041265
Dayong,25.02,118.29,301.15,83,20,1.0,CN,1596041265
Sotouboua,8.57,0.98,298.52,88,30,1.75,TG,1596041266
Kamaishi,39.27,141.88,290.62,85,72,2.02,JP,1596041266
Skeldon,5.88,-57.13,305.57,53,8,1.82,GY,1596041266
Narsaq,60.92,-46.05,287.15,71,75,4.1,GL,1596041266
Baghlan,36.13,68.71,303.04,21,0,0.35,AF,1596041267
Lethem,3.38,-59.8,305.44,48,23,3.39,GY,1596041267
Rumoi,43.93,141.64,289.45,88,1,2.57,JP,1596041267
Akdepe,42.06,59.38,301.15,36,21,2.1,TM,1596041267
Loandjili,-4.76,11.86,298.15,73,75,4.6,CG,1596041267
Mana,5.66,-53.78,302.93,68,1,4.63,GF,1596041267
Yulara,-25.24,130.99,283.15,25,0,3.1,AU,1596041268
Statesboro,32.45,-81.78,304.15,58,40,5.7,US,1596040987
Saint Lawrence,36.06,14.2,304.15,52,0,4.1,MT,1596041268
West Plains,36.73,-91.85,303.71,66,75,3.1,US,1596041268
Zharkovskiy,55.85,32.27,291.44,95,100,3.33,RU,1596041269
Bulungu,-4.55,18.6,304.02,25,0,1.52,CD,1596041269
Beringovskiy,63.05,179.32,284.24,86,27,5.23,RU,1596041269
Santa Fe,-31.63,-60.7,288.15,27,0,0.89,AR,1596041269
Pimentel,-6.84,-79.93,292.15,68,75,4.1,PE,1596041270
Faya,18.39,42.45,293.15,82,97,2.6,SA,1596041270
Murdochville,48.96,-65.5,293.66,75,100,1.59,CA,1596041270
Buala,-8.14,159.59,299.69,78,77,1.74,SB,1596041270
Konotop,51.24,33.2,297.55,64,99,2.29,UA,1596041271
Imeni Poliny Osipenko,52.42,136.49,294.64,96,11,2.46,RU,1596041271
Salisbury,51.07,-1.8,294.15,49,75,4.1,GB,1596041271
Liuhe,42.24,125.72,291.32,95,99,2.52,CN,1596041271
East London,-33.02,27.91,290.27,71,0,3.26,ZA,1596041271
Itacoatiara,-3.14,-58.44,306.15,43,0,4.1,BR,1596041271
Piaçabuçu,-10.41,-36.43,298.29,76,30,6.78,BR,1596041272
Amapá,1.0,-52.0,306.2,42,0,1.9,BR,1596041272
Ilulissat,69.22,-51.1,280.15,75,40,2.6,GL,1596041272
Dno,57.83,29.96,291.2,88,81,2.63,RU,1596041272
Elko,41.0,-115.5,300.93,34,0,2.24,US,1596041272
Tuy Hoa,13.08,109.3,299.67,86,100,1.41,VN,1596041273
Shimoda,34.67,138.95,291.48,96,100,0.89,JP,1596041273
Elizabeth City,36.29,-76.25,303.71,74,40,5.1,US,1596041235
Warrnambool,-38.38,142.48,282.04,87,47,4.48,AU,1596041273
Te Anau,-45.42,167.72,283.2,87,100,2.15,NZ,1596041273
Payakumbuh,-0.22,100.63,294.43,83,64,1.02,ID,1596041273
Vytegra,61.01,36.45,292.17,91,100,2.31,RU,1596041274
São Filipe,14.9,-24.5,299.06,83,74,2.76,CV,1596041274
Port Elizabeth,-33.92,25.57,288.15,77,0,7.2,ZA,1596041274
Constitución,-35.33,-72.42,286.32,49,65,1.3,CL,1596041274
Mandalī,33.75,45.55,315.19,10,0,4.01,IQ,1596041274
Volksrust,-27.37,29.88,281.84,49,0,0.43,ZA,1596041274
Kahului,20.89,-156.47,297.15,69,75,4.6,US,1596041179
Loughrea,53.2,-8.57,288.15,93,75,6.2,IE,1596041275
Sitka,57.05,-135.33,286.15,87,1,0.69,US,1596041275
Mayo,38.89,-76.51,305.93,48,1,3.1,US,1596041275
Barroquinha,-3.02,-41.14,308.4,33,0,2.22,BR,1596041275
Lompoc,34.64,-120.46,287.15,93,90,2.1,US,1596041064
Port Keats,-14.25,129.55,289.94,30,0,4.23,AU,1596041276
Buchanan,5.88,-10.05,298.53,79,80,5.62,LR,1596041276
Xunchang,28.45,104.72,296.07,95,99,1.0,CN,1596041276
Omsukchan,62.53,155.8,280.08,83,83,3.81,RU,1596041276
Bintulu,3.17,113.03,298.15,94,40,1.44,MY,1596041277
Prince Rupert,54.32,-130.32,286.15,87,1,2.1,CA,1596041277
Teluk Nibung,3.0,99.82,298.61,85,100,1.78,ID,1596041277
Coyhaique,-45.58,-72.07,277.15,64,94,2.1,CL,1596041026
Gorin,51.2,136.67,294.48,94,3,1.95,RU,1596041277
Cairns,-16.92,145.77,287.15,67,0,3.6,AU,1596041277
Caucaia,-3.74,-38.65,303.15,55,20,8.7,BR,1596041278
Saldanha,-33.01,17.94,289.15,77,0,2.6,ZA,1596041278
Mariehamn,60.1,19.93,290.15,77,12,6.2,AX,1596041278
Antofagasta,-23.65,-70.4,290.15,55,11,2.6,CL,1596041222
Ahipara,-35.17,173.17,285.55,85,100,3.83,NZ,1596041278
Roblin,51.23,-101.36,295.87,71,46,3.86,CA,1596041278
Kavieng,-2.57,150.8,301.02,68,0,2.44,PG,1596041278
Falam,22.92,93.68,290.21,100,100,1.25,MM,1596041279
Klyuchi,52.27,79.17,289.49,77,87,5.18,RU,1596041279
Codrington,-38.27,141.97,282.47,81,43,3.36,AU,1596041279
Harindānga,22.04,88.32,302.15,94,40,2.6,IN,1596041279
Felanitx,39.47,3.15,311.15,24,53,5.1,ES,1596041279
Madang,-5.22,145.8,297.72,88,40,1.46,PG,1596041280
Saint-Joseph,-21.37,55.62,295.15,83,75,3.6,RE,1596041280
Hay River,60.82,-115.8,291.15,68,40,1.5,CA,1596041280
Yanam,16.73,82.22,301.15,88,40,3.1,IN,1596041280
São João da Barra,-21.64,-41.05,302.15,54,20,3.1,BR,1596041280
Morros,-9.45,-46.3,306.31,23,0,2.94,BR,1596041281
Paracuru,-3.41,-39.03,299.82,69,6,11.18,BR,1596041281
Qaqortoq,60.72,-46.03,287.15,71,75,4.1,GL,1596041281
Solnechnyy,50.72,136.63,294.25,83,1,1.71,RU,1596041281
Sadon,42.85,44.0,295.15,78,75,3.0,RU,1596041281
Praia da Vitória,38.73,-27.07,301.15,65,40,7.38,PT,1596041282
Nome,64.5,-165.41,282.15,93,90,3.6,US,1596041282
Skopelos Town,39.12,23.72,303.15,55,0,2.6,GR,1596041282
Ryōtsu-minato,38.08,138.43,295.15,100,90,0.5,JP,1596041282
Turbaná,10.27,-75.44,307.15,63,40,2.1,CO,1596041282
Kapoeta,4.77,33.59,298.34,68,9,2.4,SS,1596041283
Guerrero Negro,27.98,-114.06,298.21,57,12,2.22,MX,1596041165
Dunedin,-45.87,170.5,282.04,79,100,2.24,NZ,1596041043
Rokiškis,55.97,25.58,289.71,79,2,4.32,LT,1596041283
Saint-Augustin,51.23,-58.65,291.98,57,1,5.59,CA,1596040983
Sabang,5.89,95.32,301.7,74,100,3.22,ID,1596041283
Panjāb,34.39,67.02,288.99,33,0,2.76,AF,1596041284
Wanaka,-44.7,169.15,280.33,79,99,2.5,NZ,1596041284
Panambi,-28.29,-53.5,283.65,67,0,3.93,BR,1596041284
Kelowna,49.88,-119.49,297.04,46,1,1.0,CA,1596041099
Fortuna,40.6,-124.16,287.59,100,90,2.02,US,1596041018
Saýat,38.78,63.88,304.15,22,0,3.1,TM,1596041285
Kalanguy,51.02,116.52,290.34,86,86,1.06,RU,1596041285
Bahía Blanca,-38.72,-62.27,285.04,42,0,3.37,AR,1596041277
Kargasok,59.06,80.86,286.79,75,96,3.84,RU,1596041285
Fort Morgan,40.25,-103.8,302.15,21,1,2.6,US,1596041157
Waipawa,-41.41,175.52,282.15,93,18,1.5,NZ,1596041286
Najrān,17.49,44.13,302.15,51,75,6.2,SA,1596041286
Vestmannaeyjar,63.44,-20.27,285.15,81,20,4.1,IS,1596041286
Bonfim,3.08,-59.95,304.95,52,25,3.83,BR,1596041286
Batagay-Alyta,67.8,130.41,278.41,76,2,1.31,RU,1596041286
Itamaraju,-17.04,-39.53,300.49,52,0,3.03,BR,1596041286
Yerbogachën,61.28,108.01,283.72,93,0,2.4,RU,1596041287
Villa Rica,33.73,-84.92,300.37,78,90,2.1,US,1596041100
Dubovskoye,47.41,42.76,298.91,32,55,1.21,RU,1596041287
Gboko,7.32,9.0,299.61,79,79,3.08,NG,1596041287
Lavrentiya,65.58,-171.0,282.29,88,95,2.58,RU,1596041288
Nuuk,64.18,-51.72,281.15,100,90,2.1,GL,1596041288
Inuvik,68.35,-133.72,281.15,93,90,2.1,CA,1596041028
Mount Hagen,-5.86,144.23,287.37,91,70,0.69,PG,1596041288
Latung,5.5,120.88,301.74,73,95,2.51,PH,1596041288
Megion,61.03,76.11,285.15,81,99,2.0,RU,1596041288
Heihe,50.24,127.49,294.15,100,21,0.64,CN,1596041289
Payo,-3.75,103.64,295.85,78,33,1.11,ID,1596041289
Flinders,-34.58,150.86,286.48,83,9,2.68,AU,1596041289
Borovskoy,53.8,64.15,289.02,84,62,0.38,KZ,1596041289
Urzhum,57.11,50.0,292.25,81,57,2.84,RU,1596041289
Roald,62.58,6.13,288.71,87,75,5.1,NO,1596041289
Sakakah,29.97,40.21,318.15,9,40,3.1,SA,1596041289
Dwārka,22.24,68.97,302.77,78,99,8.04,IN,1596041064
Fairbanks,64.84,-147.72,285.37,87,90,2.55,US,1596041290
Yeppoon,-23.13,150.73,283.15,93,0,3.17,AU,1596041290
Pemangkat,1.17,108.97,299.03,84,100,3.64,ID,1596041290
Santa Lucía,27.91,-15.54,299.82,61,20,15.9,ES,1596041291
Lucea,18.45,-78.17,304.26,74,40,7.7,JM,1596041291
Tabuleiro do Norte,-5.25,-38.13,307.99,31,12,4.87,BR,1596041291
Meulaboh,4.14,96.13,299.18,77,100,0.97,ID,1596041291
Berbera,10.44,45.01,305.39,56,32,2.74,SO,1596041291
Baoqing,46.33,132.21,291.54,87,0,2.43,CN,1596041292
Nieuw Nickerie,5.95,-56.98,304.08,60,2,3.19,SR,1596041292
Bahādurganj,26.27,87.82,302.03,80,96,1.52,IN,1596041292
Estrela,-28.06,-50.94,284.45,52,1,2.28,BR,1596041292
Rønne,55.1,14.71,290.15,77,61,10.3,DK,1596041292
Mossamedes,-15.2,12.15,291.21,84,22,5.07,AO,1596041293
Aklavik,68.22,-135.01,283.15,93,90,2.6,CA,1596041293
Utete,-7.99,38.76,295.99,75,26,3.49,TZ,1596041293
Ikom,5.97,8.71,298.3,93,96,0.53,NG,1596041293
Ariquemes,-9.91,-63.04,308.79,26,0,2.54,BR,1596041293
High Prairie,55.43,-116.49,294.36,63,70,1.05,CA,1596041294
Saint-Pierre,-21.34,55.48,295.15,83,75,3.6,RE,1596041294
Jérémie,18.65,-74.12,303.8,67,24,4.17,HT,1596041294
Kampong Thom,12.71,104.89,299.02,90,100,1.69,KH,1596041294
Turukhansk,65.82,87.98,287.0,66,85,3.68,RU,1596041294
Smithers,54.78,-127.17,285.15,71,20,1.5,CA,1596041295
Kavaratti,10.57,72.64,299.95,82,100,9.08,IN,1596041272
Hualmay,-11.1,-77.61,291.97,62,45,3.92,PE,1596041295
Zorgo,12.25,-0.62,303.36,55,78,2.22,BF,1596041295
Alvdal,62.11,10.63,290.15,51,20,2.6,NO,1596041295
Linqiong,30.42,103.46,295.37,100,40,5.0,CN,1596041295
Palana,59.12,159.97,282.24,100,100,2.8,RU,1596041295
Ulladulla,-35.35,150.47,284.26,100,90,3.6,AU,1596041296
Bac Lieu,9.29,105.72,300.4,83,100,4.24,VN,1596041296
Örnsköldsvik,63.29,18.72,288.15,93,100,3.6,SE,1596041296
Beaufort,5.35,115.75,298.15,94,20,0.5,MY,1596041252
Narrabri,-30.32,149.78,281.48,86,0,2.35,AU,1596041296
Three Hills,51.7,-113.27,297.59,56,72,3.93,CA,1596041296
Teknāf,20.86,92.31,300.41,87,100,3.14,BD,1596041297
Gorontalo,0.54,123.06,297.96,83,99,3.5,ID,1596041297
Ban Nahin,18.24,104.21,299.72,76,97,0.68,LA,1596041297
Sørland,67.67,12.69,289.15,77,67,5.1,NO,1596041297
Belyy Yar,53.6,91.39,290.15,93,54,1.0,RU,1596041297
Yuli,9.7,10.27,300.55,75,29,2.66,NG,1596041298
Shalinskoye,55.72,93.76,287.85,90,64,2.44,RU,1596041298
Ternate,0.8,127.4,297.53,89,84,1.57,ID,1596041298
Joshīmath,30.57,79.57,293.0,63,100,1.03,IN,1596041298
Iralaya,15.0,-83.23,303.15,79,75,4.1,HN,1596041298
Markova,48.68,24.41,301.15,51,54,1.0,UA,1596041299
Noyabrsk,63.2,75.45,282.35,91,24,2.92,RU,1596041299
Knyaginino,55.82,45.03,293.53,78,94,3.58,RU,1596041299
Nuevo Progreso,23.17,-97.95,298.15,72,100,1.07,MX,1596041165
Palu,-0.89,119.87,297.4,82,97,0.97,ID,1596041299
Oriximiná,-1.77,-55.87,307.29,32,0,3.51,BR,1596041299
Tateyama,34.98,139.87,294.82,100,75,0.5,JP,1596041300
Ucluelet,48.93,-125.55,286.15,100,90,2.1,CA,1596041300
Nelson Bay,-32.72,152.15,284.82,93,29,3.6,AU,1596041300
Alice Springs,-23.7,133.88,278.15,32,0,2.1,AU,1596041093
Wundanyi,-3.4,38.36,290.89,69,3,4.64,KE,1596041300
Belaya Gora,68.53,146.42,280.03,65,99,3.06,RU,1596041301
Rørvik,64.86,11.24,294.15,60,40,3.6,NO,1596041301
Oteşani,45.07,24.03,299.79,62,0,1.51,RO,1596041301
San Quintín,30.48,-115.95,296.09,67,3,5.93,MX,1596041301
Žarnovica,48.48,18.72,302.04,54,20,2.1,SK,1596041174
Nivala,63.92,24.97,289.82,89,100,0.89,FI,1596041301
Markivka,49.52,39.57,298.2,45,34,1.35,UA,1596041302
Dolores,-36.31,-57.68,284.3,50,0,4.09,AR,1596041302
Pachino,36.72,15.09,305.15,29,0,3.6,IT,1596041302
Madingou,-4.15,13.55,303.64,39,77,2.07,CG,1596041302
